year,unemployment rate,annual change
1991,5.32,1.00
1992,6.32,1.00
1993,7.68,1.36
1994,8.73,1.05
1995,8.16,-0.57
1996,8.82,0.66
1997,9.86,1.04
1998,9.79,-0.07
1999,8.86,-0.93
2000,7.92,-0.94
2001,7.77,-0.15
2002,8.48,0.71
2003,9.78,1.30
2004,10.73,0.95
2005,11.17,0.44
2006,10.25,-0.92
2007,8.66,-1.59
2008,7.52,-1.14
2009,7.74,0.22
2010,6.97,-0.77
2011,5.82,-1.15
2012,5.38,-0.44
2013,5.23,-0.15
2014,4.98,-0.25
2015,4.62,-0.36
2016,4.12,-0.50
2017,3.75,-0.37
2018,3.38,-0.37
2019,3.14,-0.24
2020,3.81,0.67
2021,3.54,-0.28